date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,win_by_runs,win_by_wickets,player_of_match,match_referee
28/03/2026,2026,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,201,9,203,4,Royal Challengers Bengaluru,0,6,JA Duffy,J Srinath
29/03/2026,2026,Mumbai,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,220,4,224,4,Mumbai Indians,0,6,SN Thakur,Shakti Singh
30/03/2026,2026,Guwahati,"Barsapara Cricket Stadium, Guwahati",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,127,10,128,2,Rajasthan Royals,0,8,N Burger,V Narayan Kutty
31/03/2026,2026,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Gujarat Titans,Punjab Kings,Punjab Kings,field,162,6,165,7,Punjab Kings,0,3,C Connolly,Prakash Bhatt
01/04/2026,2026,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,141,10,145,4,Delhi Capitals,0,6,Sameer Rizvi,J Srinath
02/04/2026,2026,Kolkata,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,226,8,161,10,Sunrisers Hyderabad,65,0,Nithish Kumar Reddy,Shakti Singh
03/04/2026,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Punjab Kings,field,209,5,210,5,Punjab Kings,0,5,Priyansh Arya,Prakash Bhatt
04/04/2026,2026,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,210,6,204,8,Rajasthan Royals,6,0,Ravi Bishnoi,J Srinath
04/04/2026,2026,Delhi,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,162,6,164,4,Delhi Capitals,0,6,Sameer Rizvi,V Narayan Kutty
05/04/2026,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,156,9,160,5,Lucknow Super Giants,0,5,Mohammed Shami,Shakti Singh
05/04/2026,2026,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,250,3,207,10,Royal Challengers Bengaluru,43,0,TH David,Prakash Bhatt
06/04/2026,2026,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,25,2,0,0,None,0,0,None,J Srinath
07/04/2026,2026,Guwahati,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,150,3,123,9,Rajasthan Royals,27,0,YBK Jaiswal,V Narayan Kutty
08/04/2026,2026,Delhi,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,210,4,209,8,Gujarat Titans,1,0,Rashid Khan,Shakti Singh
09/04/2026,2026,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,181,4,182,7,Lucknow Super Giants,0,3,MD Choudhary,Prakash Bhatt
10/04/2026,2026,Guwahati,"Barsapara Cricket Stadium, Guwahati",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,201,8,202,4,Rajasthan Royals,0,6,V Suryavanshi,V Narayan Kutty
11/04/2026,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,212,2,189,10,Chennai Super Kings,23,0,SV Samson,Shakti Singh
